BoroughCode,SRCreated_month,3-1-1 Call Center,AMPS,Correspondence,Park Inspection Program,Others
Bronx,Apr,411.0,57.0,0.0,0.0,138.0
Bronx,Aug,801.0,89.0,0.0,0.0,147.0
Bronx,Dec,278.0,37.0,0.0,0.0,684.0
Bronx,Feb,320.0,57.0,1.0,0.0,74.0
Bronx,Jan,173.0,45.0,0.0,0.0,60.0
Bronx,Jul,964.0,82.0,0.0,0.0,129.0
Bronx,Jun,862.0,52.0,0.0,0.0,137.0
Bronx,Mar,406.0,56.0,1.0,0.0,232.0
Bronx,May,590.0,70.0,1.0,0.0,201.0
Bronx,Nov,291.0,36.0,0.0,0.0,580.0
Bronx,Oct,492.0,78.0,0.0,0.0,261.0
Bronx,Sep,652.0,54.0,0.0,0.0,266.0
Brooklyn,Apr,1452.0,112.0,16.0,0.0,857.0
Brooklyn,Aug,2545.0,128.0,47.0,10.0,663.0
Brooklyn,Dec,1037.0,63.0,28.0,2.0,400.0
Brooklyn,Feb,792.0,46.0,29.0,5.0,190.0
Brooklyn,Jan,873.0,33.0,17.0,0.0,189.0
Brooklyn,Jul,2635.0,123.0,18.0,0.0,747.0
Brooklyn,Jun,3333.0,92.0,17.0,1.0,1411.0
Brooklyn,Mar,1374.0,92.0,32.0,0.0,567.0
Brooklyn,May,2355.0,93.0,35.0,0.0,969.0
Brooklyn,Nov,1317.0,64.0,22.0,0.0,339.0
Brooklyn,Oct,2010.0,87.0,25.0,0.0,674.0
Brooklyn,Sep,2640.0,110.0,30.0,0.0,620.0
Manhattan,Apr,399.0,107.0,0.0,0.0,236.0
Manhattan,Aug,532.0,141.0,0.0,0.0,327.0
Manhattan,Dec,184.0,20.0,0.0,0.0,172.0
Manhattan,Feb,217.0,40.0,3.0,0.0,201.0
Manhattan,Jan,171.0,21.0,0.0,0.0,149.0
Manhattan,Jul,532.0,110.0,2.0,0.0,330.0
Manhattan,Jun,588.0,131.0,5.0,0.0,215.0
Manhattan,Mar,373.0,60.0,0.0,0.0,205.0
Manhattan,May,592.0,122.0,0.0,0.0,284.0
Manhattan,Nov,340.0,20.0,0.0,0.0,166.0
Manhattan,Oct,385.0,61.0,5.0,0.0,273.0
Manhattan,Sep,473.0,144.0,0.0,0.0,314.0
Queens,Apr,2279.0,78.0,47.0,8.0,523.0
Queens,Aug,4192.0,125.0,6.0,50.0,800.0
Queens,Dec,1828.0,64.0,37.0,16.0,425.0
Queens,Feb,1339.0,87.0,83.0,26.0,333.0
Queens,Jan,1062.0,44.0,67.0,13.0,331.0
Queens,Jul,3848.0,133.0,7.0,25.0,1322.0
Queens,Jun,4374.0,157.0,52.0,52.0,1090.0
Queens,Mar,2197.0,92.0,48.0,38.0,677.0
Queens,May,3089.0,98.0,47.0,33.0,815.0
Queens,Nov,1815.0,80.0,16.0,50.0,291.0
Queens,Oct,3372.0,149.0,16.0,42.0,712.0
Queens,Sep,4434.0,99.0,2.0,48.0,793.0
Staten Island,Apr,685.0,23.0,6.0,2.0,196.0
Staten Island,Aug,1268.0,51.0,14.0,0.0,231.0
Staten Island,Dec,384.0,21.0,9.0,0.0,264.0
Staten Island,Feb,366.0,20.0,2.0,0.0,80.0
Staten Island,Jan,312.0,15.0,12.0,0.0,103.0
Staten Island,Jul,945.0,52.0,9.0,0.0,228.0
Staten Island,Jun,1212.0,31.0,14.0,2.0,217.0
Staten Island,Mar,585.0,23.0,17.0,2.0,132.0
Staten Island,May,968.0,24.0,10.0,0.0,378.0
Staten Island,Nov,431.0,15.0,6.0,0.0,290.0
Staten Island,Oct,761.0,33.0,6.0,0.0,1627.0
Staten Island,Sep,881.0,41.0,14.0,0.0,183.0
