WOClosedDate_week_number,A,B,C,D,E
0,1.0,10.0,32.0,135.0,279.0,8.0
1,2.0,12.0,20.0,133.0,287.0,18.0
2,3.0,10.0,38.0,86.0,278.0,17.0
3,4.0,1.0,16.0,133.0,232.0,5.0
4,5.0,3.0,8.0,93.0,164.0,8.0
5,6.0,1.0,23.0,62.0,139.0,6.0
6,7.0,11.0,44.0,46.0,24.0,1.0
7,8.0,19.0,19.0,51.0,136.0,2.0
8,9.0,7.0,33.0,53.0,43.0,1.0
9,10.0,34.0,59.0,103.0,184.0,1.0
10,11.0,14.0,40.0,58.0,79.0,3.0
11,12.0,2.0,49.0,59.0,99.0,4.0
12,13.0,0.0,17.0,37.0,57.0,3.0
13,14.0,12.0,27.0,58.0,103.0,6.0
14,15.0,1.0,26.0,59.0,60.0,5.0
15,16.0,13.0,40.0,61.0,148.0,4.0
16,17.0,2.0,27.0,56.0,58.0,6.0
17,18.0,3.0,17.0,54.0,88.0,5.0
18,19.0,25.0,46.0,60.0,84.0,5.0
19,20.0,8.0,48.0,120.0,157.0,6.0
20,21.0,13.0,48.0,85.0,159.0,16.0
21,22.0,19.0,11.0,90.0,129.0,4.0
22,23.0,44.0,23.0,86.0,172.0,4.0
23,24.0,26.0,73.0,74.0,96.0,1.0
24,25.0,41.0,43.0,109.0,264.0,2.0
25,26.0,27.0,56.0,130.0,185.0,3.0
26,27.0,14.0,65.0,71.0,107.0,10.0
27,28.0,53.0,43.0,92.0,217.0,8.0
28,29.0,45.0,69.0,79.0,149.0,0.0
29,30.0,44.0,81.0,118.0,290.0,2.0
30,31.0,38.0,75.0,81.0,253.0,3.0
31,32.0,35.0,45.0,92.0,190.0,10.0
32,33.0,11.0,44.0,91.0,136.0,13.0
33,34.0,37.0,62.0,104.0,243.0,2.0
34,35.0,23.0,48.0,97.0,270.0,1.0
35,36.0,26.0,40.0,101.0,263.0,2.0
36,37.0,43.0,103.0,192.0,299.0,3.0
37,38.0,18.0,98.0,95.0,194.0,3.0
38,39.0,29.0,63.0,100.0,195.0,5.0
39,40.0,60.0,98.0,149.0,315.0,16.0
40,41.0,21.0,36.0,80.0,188.0,5.0
41,42.0,23.0,46.0,124.0,265.0,17.0
42,43.0,23.0,80.0,68.0,212.0,57.0
43,44.0,5.0,57.0,56.0,227.0,27.0
44,45.0,3.0,16.0,29.0,50.0,1.0
45,46.0,14.0,47.0,78.0,222.0,4.0
46,47.0,5.0,11.0,82.0,177.0,5.0
47,48.0,41.0,105.0,160.0,278.0,24.0
48,49.0,16.0,67.0,130.0,217.0,26.0
49,50.0,2.0,38.0,134.0,338.0,18.0
50,51.0,18.0,51.0,181.0,281.0,41.0
51,52.0,29.0,37.0,108.0,296.0,16.0
